channel,published_at,title,view_count,like_count,hashtags,duration_seconds,comment_count,hashtags_clean
징버거 JINGBURGER,2026-08-25T12:00:37Z,(실제로 한 말),33961,2257,"징버거, 이세계아이돌, 이세돌, 버추얼아이돌, 메타버스, 왁타버스, 아이네, 릴파, 주르르, 고세구, 비챤, 우왁굳, 버튜버, 아프리카, SOOP",802,189,"버추얼아이돌, 메타버스"
징버거 JINGBURGER,2026-08-21T09:00:01Z,[썰툰] 신곡 녹음 끝나고 치맥회동 했습니다,60742,3435,"징버거, 이세계아이돌, 이세돌, 버추얼아이돌, 메타버스, 왁타버스, 아이네, 릴파, 주르르, 고세구, 비챤, 우왁굳, 버튜버, 아프리카, SOOP, 숲, 썰툰, 그림, 녹음, 신곡, 이세돌 신곡, 그림 방송, ART, 치맥",672,161,"버추얼아이돌, 썰툰, 숲, 치맥, 그림 방송, ART, 그림, 메타버스, 신곡, 이세돌 신곡, 녹음"
징버거 JINGBURGER,2026-08-16T09:00:27Z,TV 애니메이션 구작화 vs 신작화,48126,2711,"징버거, 이세계아이돌, 이세돌, 버추얼아이돌, 메타버스, 왁타버스, 아이네, 릴파, 주르르, 고세구, 비챤, 우왁굳, 버튜버, 아프리카, SOOP, 숲, shorts, 유머, 정보",106,55,"버추얼아이돌, 정보, 숲, 메타버스, 유머"
징버거 JINGBURGER,2026-08-16T07:00:12Z,SOOP에서 가장 못생긴 버츄얼을 성형하면 예뻐질까? - 버형외과 1화,70459,3159,"징버거, 이세계아이돌, 이세돌, 버추얼아이돌, 메타버스, 왁타버스, 아이네, 릴파, 주르르, 고세구, 비챤, 우왁굳, 버튜버, 아프리카, SOOP, 숲, 버형외과, 버츄얼 성형외과, 버츄얼 성형, 메이크오버, 미미짱짱세용",1531,190,"버추얼아이돌, 숲, 미미짱짱세용, 버형외과, 메이크오버, 메타버스, 버츄얼 성형, 버츄얼 성형외과"
징버거 JINGBURGER,2026-08-12T11:00:02Z,원피스 뉴비가 본 정상전쟁이 너무 열받는 이유 ㅋㅋㅋ - 징버거 노가리,33530,1818,"징버거, 이세계아이돌, 이세돌, 버추얼아이돌, 메타버스, 왁타버스, 아이네, 릴파, 주르르, 고세구, 비챤, 우왁굳, 버튜버, 아프리카, SOOP",1204,153,"버추얼아이돌, 메타버스"
징버거 JINGBURGER,2026-08-09T10:00:04Z,버츄얼 선배가 뭔지 보여줄게,32522,2240,"징버거, 이세계아이돌, 이세돌, 버추얼아이돌, 메타버스, 왁타버스, 아이네, 릴파, 주르르, 고세구, 비챤, 우왁굳, 버튜버, 아프리카, SOOP",505,91,"버추얼아이돌, 메타버스"
징버거 JINGBURGER,2026-07-31T09:00:05Z,요즘 심상치 않다는 아버거 근황 - 이세돌 노가리,42829,2621,"징버거, 이세계아이돌, 이세돌, 버추얼아이돌, 메타버스, 왁타버스, 아이네, 릴파, 주르르, 고세구, 비챤, 우왁굳, 버튜버, 아프리카, SOOP",537,127,"버추얼아이돌, 메타버스"
징버거 JINGBURGER,2026-07-27T12:00:12Z,이세돌 마크 하코 죽음 모음집,124188,5606,"징버거, 이세계아이돌, 이세돌, 버추얼아이돌, 메타버스, 왁타버스, 아이네, 릴파, 주르르, 고세구, 비챤, 우왁굳, 버튜버, 아프리카, SOOP",96,77,"버추얼아이돌, 메타버스"
징버거 JINGBURGER,2026-07-27T11:00:30Z,"""야!!!! 주르르!!!!!!!"" 엔딩 보기 직전 벌어진 대참사 🤬 [이세돌 마크 하코서버 2부]",44625,2095,"징버거, 이세계아이돌, 이세돌, 버추얼아이돌, 메타버스, 왁타버스, 아이네, 릴파, 주르르, 고세구, 비챤, 우왁굳, 버튜버, 아프리카, SOOP, 숲, 합방, 이세돌 합방, 마크, 마인크래프트, minecraft, 하드코어, 마인크래프트 하드코어, 이세돌 마크, 이세돌 마인크래프트, 이세돌 마크합방",1320,95,"버추얼아이돌, minecraft, 이세돌 마크, 숲, 합방, 메타버스, 하드코어, 마인크래프트 하드코어, 이세돌 마인크래프트, 이세돌 합방, 이세돌 마크합방"
징버거 JINGBURGER,2026-07-23T09:00:05Z,"""반지의 제왕 안 봤는데요?"" - 명작영화 TOP100 살펴보기",38857,2155,"징버거, 이세계아이돌, 이세돌, 버추얼아이돌, 메타버스, 왁타버스, 아이네, 릴파, 주르르, 고세구, 비챤, 우왁굳, 버튜버, 아프리카, SOOP, 숲, 영화, 명작영화, 추천영화, top100, 반지의제왕, 쇼생크탈출, 다크나이트, 어벤져스, 영소남",913,282,"명작영화, 버추얼아이돌, 다크나이트, 숲, 영소남, 추천영화, 반지의제왕, 메타버스, 어벤져스, top100, 쇼생크탈출, 영화"
징버거 JINGBURGER,2026-07-16T09:00:38Z,첫 만남에 울어버린 찐팬을 만났습니다..,38664,2590,"징버거, 이세계아이돌, 이세돌, 버추얼아이돌, 메타버스, 왁타버스, 아이네, 릴파, 주르르, 고세구, 비챤, 우왁굳, 버튜버, 아프리카, SOOP, 숲, 마크, 합방, 마인크래프트, 솜먕, UR:L, 유아렐",662,111,"버추얼아이돌, 숲, 합방, UR:L, 메타버스, 유아렐, 솜먕"
징버거 JINGBURGER,2026-07-13T09:00:02Z,한 명의 실수 = 전원 리셋! 🤯 역대급 케미 보여준 레전드 합방 ㅋㅋㅋ [이세돌 마크 하코서버 1부],70905,3025,"징버거, 이세계아이돌, 이세돌, 버추얼아이돌, 메타버스, 왁타버스, 아이네, 릴파, 주르르, 고세구, 비챤, 우왁굳, 버튜버, 아프리카, SOOP, 숲, 합방, 이세돌 합방, 마크, 마인크래프트, minecraft, 하드코어, 마인크래프트 하드코어, 이세돌 마크, 이세돌 마인크래프트, 이세돌 마크합방",1038,125,"버추얼아이돌, minecraft, 이세돌 마크, 숲, 합방, 메타버스, 하드코어, 마인크래프트 하드코어, 이세돌 마인크래프트, 이세돌 합방, 이세돌 마크합방"
징버거 JINGBURGER,2026-07-10T10:00:10Z,승인해주세요 지니님!ㅣ징버거・비챤 COVER,341322,13784,"징버거, 비챤, cover, 이세계아이돌, 버추얼아이돌, 메타버스, 왁타버스, 이세돌, 버튜버, 아프리카, SOOP, 고세구, 커버, 노래, 승인해주세요지니님, 트랩칙, TRAP CHICK",169,1687,"커버, 버추얼아이돌, 메타버스, 트랩칙, TRAP CHICK, 승인해주세요지니님"
징버거 JINGBURGER,2026-07-07T11:00:14Z,이세돌의 대환장 멧챠 카멜레온 ㅋㅋㅋ [이세돌 종겜 합방],75402,3154,"징버거, 이세계아이돌, 이세돌, 버추얼아이돌, 메타버스, 왁타버스, 아이네, 릴파, 주르르, 고세구, 비챤, 우왁굳, 버튜버, 아프리카, SOOP, 숲, 이세돌 합방, 멧챠 카멜레온, MECCHA CHAMELEON, 이세돌 종겜, 종겜, 종합게임, Frog Sqwad, 끄투, 끄투 온라인",1521,127,"이세돌 종겜, 버추얼아이돌, 멧챠 카멜레온, 숲, MECCHA CHAMELEON, 종합게임, 종겜, Frog Sqwad, 메타버스, 끄투, 끄투 온라인, 이세돌 합방"
징버거 JINGBURGER,2026-07-03T09:00:11Z,정수리에서 되게 좋은 향기 난다..ㅎ - 이세계솔로 징상철 하이라이트,34576,2237,"징버거, 이세계아이돌, 이세돌, 버추얼아이돌, 메타버스, 왁타버스, 아이네, 릴파, 주르르, 고세구, 비챤, 우왁굳, 버튜버, 아프리카, SOOP, 숲, 이세돌 합방, 이세계아이돌 합방, 징상철, 이세계솔로",1090,154,"버추얼아이돌, 이세계아이돌 합방, 이세계솔로, 숲, 메타버스, 이세돌 합방, 징상철"
징버거 JINGBURGER,2026-07-01T09:00:21Z,신곡 컴백 합방에서도 딸깍으로 캐리해버리는 징버거,38686,2412,"징버거, 이세계아이돌, 이세돌, 버추얼아이돌, 메타버스, 왁타버스, 아이네, 릴파, 주르르, 고세구, 비챤, 우왁굳, 버튜버, 아프리카, SOOP, 숲, 신곡, 이세돌 합방, smile for you",558,104,"버추얼아이돌, 숲, 메타버스, 신곡, 이세돌 합방, smile for you"
징버거 JINGBURGER,2026-06-29T09:00:22Z,랜덤으로 블록을 지정받았는데 이게 된다고?? - 마인크래프트 랜덤컬러건콘,37593,2442,"징버거, 이세계아이돌, 이세돌, 버추얼아이돌, 메타버스, 왁타버스, 아이네, 릴파, 주르르, 고세구, 비챤, 우왁굳, 버튜버, 아프리카, SOOP, 숲, 마크, 마인크래프트, 건콘, 건축콘테스트, 랜덤건콘, 치즐, 치즐건콘, Chisel, minecraft chisel, 마크 치즐",1130,144,"minecraft chisel, 버추얼아이돌, 치즐, 건콘, 숲, 랜덤건콘, 치즐건콘, 메타버스, Chisel, 건축콘테스트, 마크 치즐"
징버거 JINGBURGER,2026-06-26T10:30:16Z,님들이 그렇게 원한다면...,30810,2291,"징버거, 이세계아이돌, 이세돌, 버추얼아이돌, 메타버스, 왁타버스, 아이네, 릴파, 주르르, 고세구, 비챤, 우왁굳, 버튜버, 아프리카, SOOP, 숲, 핫클립, 노가리, 신곡, 스마일포유, smile for you, 우정잉, 버츄얼 파이터, 타요, 악어, 치요, 천양, 견자희, 페블나이츠",682,90,"천양, 버추얼아이돌, 숲, 치요, 스마일포유, 노가리, 버츄얼 파이터, 페블나이츠, 메타버스, 신곡, 우정잉, 타요, 악어, smile for you, 견자희"
징버거 JINGBURGER,2026-06-22T09:00:15Z,울산이 더 노잼아님? - 징버거 노가리,33856,2210,"징버거, 이세계아이돌, 이세돌, 버추얼아이돌, 메타버스, 왁타버스, 아이네, 릴파, 주르르, 고세구, 비챤, 우왁굳, 버튜버, 아프리카, SOOP",603,252,"버추얼아이돌, 메타버스"
징버거 JINGBURGER,2026-06-20T09:00:31Z,눈물나도록 가슴아픈 이야기 [성세천하: 여제의 탄생2 - 이태 편],9719,645,"징버거, 이세계아이돌, 이세돌, 버추얼아이돌, 메타버스, 왁타버스, 아이네, 릴파, 주르르, 고세구, 비챤, 우왁굳, 버튜버, 아프리카, SOOP, 숲, 성세천하",13902,64,"버추얼아이돌, 메타버스, 숲, 성세천하"
징버거 JINGBURGER,2026-06-18T09:00:03Z,(광고아님) SNS에서 대유행 중인 야르한 치킨 - 징버거 노가리,61879,3226,"징버거, 이세계아이돌, 이세돌, 버추얼아이돌, 메타버스, 왁타버스, 아이네, 릴파, 주르르, 고세구, 비챤, 우왁굳, 버튜버, 아프리카, SOOP, 숲, 핫치즈밤, 핫치즈밤빅싸이순살, 맘스터치, 노가리",1033,197,"버추얼아이돌, 숲, 맘스터치, 노가리, 메타버스, 핫치즈밤, 핫치즈밤빅싸이순살"
징버거 JINGBURGER,2026-06-16T09:00:25Z,시즌2 전에 복습! 성세천하: 여제의 탄생 Ⅰ 켠왕,7904,567,"징버거, 이세계아이돌, 이세돌, 버추얼아이돌, 메타버스, 왁타버스, 아이네, 릴파, 주르르, 고세구, 비챤, 우왁굳, 버튜버, 아프리카, SOOP, 성세천하, 성세천하 다시보기",25746,39,"버추얼아이돌, 메타버스, 성세천하 다시보기, 성세천하"
징버거 JINGBURGER,2026-06-11T09:00:07Z,이 정도도 안 된다고?!,84841,4110,"징버거, 이세계아이돌, 이세돌, 버추얼아이돌, 메타버스, 왁타버스, 아이네, 릴파, 주르르, 고세구, 비챤, 우왁굳, 버튜버, 아프리카, SOOP, 숲, 핫클립",609,211,"버추얼아이돌, 메타버스, 숲"
징버거 JINGBURGER,2026-06-01T09:00:07Z,"자본주의 마크, 돈으로 엔더 드래곤 잡기 가능??",37113,2462,"징버거, 이세계아이돌, 이세돌, 버추얼아이돌, 메타버스, 왁타버스, 아이네, 릴파, 주르르, 고세구, 비챤, 우왁굳, 버튜버, 아프리카, SOOP, 숲, 마크, 마인크래프트, minecraft, 마크 후원모드, 후원모드, 엔더드래곤, 엔잡그, 마크 켠왕",1036,135,"버추얼아이돌, minecraft, 숲, 마크 후원모드, 엔잡그, 메타버스, 엔더드래곤, 마크 켠왕, 후원모드"
징버거 JINGBURGER,2026-05-28T09:00:06Z,2000억짜리 꿈의 집을 마크로 구현했다고!?,71546,3082,"징버거, 이세계아이돌, 이세돌, 버추얼아이돌, 메타버스, 왁타버스, 아이네, 릴파, 주르르, 고세구, 비챤, 우왁굳, 버튜버, 아프리카, SOOP, 숲, 마크, 마인크래프트, minecraft, 꿈집, 꿈의집, 마크 건축, 마크 집짓기",1983,125,"버추얼아이돌, minecraft, 숲, 마크 건축, 꿈의집, 마크 집짓기, 메타버스, 꿈집"
징버거 JINGBURGER,2026-05-24T11:00:35Z,왜 웃지?,49383,2660,"징버거, 이세계아이돌, 이세돌, 버추얼아이돌, 메타버스, 왁타버스, 아이네, 릴파, 주르르, 고세구, 비챤, 우왁굳, 버튜버, 아프리카, SOOP, 숲, 핫클립",512,125,"버추얼아이돌, 메타버스, 숲"
징버거 JINGBURGER,2026-05-19T09:00:12Z,여러분의 의견이 필요합니다,50887,4171,"징버거, 이세계아이돌, 이세돌, 버추얼아이돌, 메타버스, 왁타버스, 아이네, 릴파, 주르르, 고세구, 비챤, 우왁굳, 버튜버, 아프리카, SOOP, 숲",99,937,"버추얼아이돌, 메타버스, 숲"
징버거 JINGBURGER,2026-05-18T09:00:36Z,세구야 너무 억텐 아니냐,37937,2391,"징버거, 이세계아이돌, 이세돌, 버추얼아이돌, 메타버스, 왁타버스, 아이네, 릴파, 주르르, 고세구, 비챤, 우왁굳, 버튜버, 아프리카, SOOP, 숲",504,88,"버추얼아이돌, 메타버스, 숲"
징버거 JINGBURGER,2026-05-14T09:00:23Z,현실을 말하면 우짜노,76625,3637,"징버거, 이세계아이돌, 이세돌, 버추얼아이돌, 메타버스, 왁타버스, 아이네, 릴파, 주르르, 고세구, 비챤, 우왁굳, 버튜버, 아프리카, SOOP, 숲, 핫클립",482,124,"버추얼아이돌, 메타버스, 숲"
징버거 JINGBURGER,2026-05-10T15:01:11Z,땅 파다 친구도 묻어버리는 게임 - 프랫폴 합방 Pratfall,25527,1247,"징버거, 이세계아이돌, 이세돌, 버추얼아이돌, 메타버스, 왁타버스, 아이네, 릴파, 주르르, 고세구, 비챤, 우왁굳, 버튜버, 아프리카, SOOP, 숲, 프랫폴, Pratfall, 코렛트, 합방, 게임합방, 종합게임, 신작, 땅파는게임, 땅파기게임",18495,72,"신작, 버추얼아이돌, 숲, 합방, 종합게임, Pratfall, 땅파기게임, 게임합방, 코렛트, 메타버스, 프랫폴, 땅파는게임"
징버거 JINGBURGER,2026-05-07T10:01:18Z,이제 내가 필요없어...?,73165,3783,"징버거, 이세계아이돌, 이세돌, 버추얼아이돌, 메타버스, 왁타버스, 아이네, 릴파, 주르르, 고세구, 비챤, 우왁굳, 버튜버, 아프리카, SOOP",501,161,"버추얼아이돌, 메타버스"
징버거 JINGBURGER,2026-04-29T09:00:59Z,생애 첫 오사카 유니버셜에서 다 젖은 썰 ㅋㅋㅋ,36772,2494,"징버거, 이세계아이돌, 이세돌, 버추얼아이돌, 메타버스, 왁타버스, 아이네, 릴파, 주르르, 고세구, 비챤, 우왁굳, 버튜버, 아프리카, SOOP, 숲, 일본, 일본여행, 오사카, 유니버셜, 유니버셜 스튜디오, USJ",709,95,"버추얼아이돌, 숲, USJ, 일본, 유니버셜, 오사카, 메타버스, 일본여행, 유니버셜 스튜디오"
징버거 JINGBURGER,2026-04-29T04:00:46Z,징버거가 직접 만든 친구모아 주민들,263731,11444,"징버거, 이세계아이돌, 이세돌, 버추얼아이돌, 메타버스, 왁타버스, 아이네, 릴파, 주르르, 고세구, 비챤, 우왁굳, 버튜버, 아프리카, SOOP, 숲, 친구모아, 친구모아 아일랜드",120,264,"버추얼아이돌, 메타버스, 친구모아 아일랜드, 숲, 친구모아"
징버거 JINGBURGER,2026-04-26T04:00:24Z,징버거 2.0 최초공개 합니다,130301,7434,"징버거, 이세계아이돌, 이세돌, 버추얼아이돌, 메타버스, 왁타버스, 아이네, 릴파, 주르르, 고세구, 비챤, 우왁굳, 버튜버, 아프리카, SOOP, 숲, 뉴버거, 뉴뉴버거, 징버거 2.0, 징버거 리뉴얼, 단발, 징버거 단발",896,693,"버추얼아이돌, 뉴뉴버거, 숲, 징버거 리뉴얼, 징버거 2.0, 메타버스, 단발, 뉴버거, 징버거 단발"
징버거 JINGBURGER,2026-04-18T04:00:41Z,퍼리 몇 단계까지 가능?,26842,2328,"징버거, 이세계아이돌, 이세돌, 버추얼아이돌, 메타버스, 왁타버스, 아이네, 릴파, 주르르, 고세구, 비챤, 우왁굳, 버튜버, 아프리카, SOOP, 숲, 퍼리, 징여우, furry",493,190,"버추얼아이돌, 숲, 퍼리, 메타버스, 징여우, furry"
징버거 JINGBURGER,2026-04-14T09:00:06Z,뉴걸들을 찾아 떠난 우왁굳,56198,2727,"징버거, 이세계아이돌, 이세돌, 버추얼아이돌, 메타버스, 왁타버스, 아이네, 릴파, 주르르, 고세구, 비챤, 우왁굳, 버튜버, 아프리카, SOOP, 숲, 와우",491,147,"버추얼아이돌, 메타버스, 와우, 숲"
징버거 JINGBURGER,2026-04-09T09:00:35Z,합방 중 역대급으로 화낸 이유,63958,2743,"징버거, 이세계아이돌, 이세돌, 버추얼아이돌, 메타버스, 왁타버스, 아이네, 릴파, 주르르, 고세구, 비챤, 우왁굳, 버튜버, 아프리카, SOOP, 숲, 종합게임, 종겜, 합방, 악어, 머독, 코렛트, 냐냐, 독고혜지, 미르, 최또, 뽀린걸, 천양",926,150,"최또, 천양, 버추얼아이돌, 독고혜지, 숲, 합방, 뽀린걸, 종합게임, 종겜, 냐냐, 코렛트, 메타버스, 악어, 머독, 미르"
징버거 JINGBURGER,2026-04-04T06:00:37Z,5년 째 토론중,71634,3738,"징버거, 이세계아이돌, 이세돌, 버추얼아이돌, 메타버스, 왁타버스, 아이네, 릴파, 주르르, 고세구, 비챤, 우왁굳, 버튜버, 아프리카, SOOP",608,320,"버추얼아이돌, 메타버스"
징버거 JINGBURGER,2026-03-30T09:00:00Z,진짜 징버거의 팬은 누구?,70279,2991,"징버거, 이세계아이돌, 이세돌, 버추얼아이돌, 메타버스, 왁타버스, 아이네, 릴파, 주르르, 고세구, 비챤, 우왁굳, 버튜버, 아프리카, SOOP, 숲, 똥강아지, 컨텐츠, 진짜 똥강아지, 진똥찾, 머독, 천양, 조경훈, 이루희, 미르, 뢴트게늄",1436,169,"천양, 버추얼아이돌, 똥강아지, 숲, 컨텐츠, 뢴트게늄, 조경훈, 메타버스, 이루희, 머독, 진똥찾, 미르, 진짜 똥강아지"
징버거 JINGBURGER,2026-03-25T09:00:00Z,깜짝이야 에서 깜만 빼고 말해보세요?,51061,3154,"징버거, 이세계아이돌, 이세돌, 버추얼아이돌, 메타버스, 왁타버스, 아이네, 릴파, 주르르, 고세구, 비챤, 우왁굳, 버튜버, 아프리카, SOOP, 숲, 짜기야, 깜짝이야",481,143,"버추얼아이돌, 깜짝이야, 메타버스, 숲, 짜기야"
징버거 JINGBURGER,2026-03-19T09:00:52Z,징버거가 최애인 이유?,55032,3240,"징버거, 이세계아이돌, 이세돌, 버추얼아이돌, 메타버스, 왁타버스, 아이네, 릴파, 주르르, 고세구, 비챤, 우왁굳, 버튜버, 아프리카, SOOP, 숲, 핫클립, 미르",481,195,"버추얼아이돌, 메타버스, 미르, 숲"
징버거 JINGBURGER,2026-03-16T09:00:16Z,친오빠가 공포게임을 안 무서워할까? -바이오하자드 레퀴엠,32518,1256,"징버거, 이세계아이돌, 이세돌, 버추얼아이돌, 메타버스, 왁타버스, 아이네, 릴파, 주르르, 고세구, 비챤, 우왁굳, 버튜버, 아프리카, SOOP, 숲, 바이오하자드, biohazard, 바이오하자드 레퀴엠, biohazard requiem, 거머리티비, 거머리TV, 오라버거, 오빠, 친오빠, 합방",52285,118,"거머리티비, 버추얼아이돌, 오빠, biohazard, 숲, 오라버거, 합방, 바이오하자드 레퀴엠, biohazard requiem, 거머리TV, 메타버스, 바이오하자드, 친오빠"
징버거 JINGBURGER,2026-03-10T09:00:29Z,넘을 수 없는 벽,100605,4517,"징버거, 이세계아이돌, 이세돌, 버추얼아이돌, 메타버스, 왁타버스, 아이네, 릴파, 주르르, 고세구, 비챤, 우왁굳, 버튜버, 아프리카, SOOP, 숲, 핫클립, 볶음밥, 토크, 노가리",497,141,"버추얼아이돌, 숲, 노가리, 토크, 메타버스, 볶음밥"
징버거 JINGBURGER,2026-03-07T09:00:09Z,포켓몬으로 동숲하는 GOTY급 게임 - 포코피아,32323,1508,"징버거, 이세계아이돌, 이세돌, 버추얼아이돌, 메타버스, 왁타버스, 아이네, 릴파, 주르르, 고세구, 비챤, 우왁굳, 버튜버, 아프리카, SOOP, 숲, 포켓몬, 포켓몬스터, 포코피아, POKOPIA, 포켓몬 동물의 숲, 포동숲",11173,111,"포코피아, 버추얼아이돌, 포켓몬, POKOPIA, 숲, 포켓몬스터, 포동숲, 메타버스, 포켓몬 동물의 숲"
징버거 JINGBURGER,2026-03-05T09:01:01Z,마법소녀가 되지 않을래?,30768,2291,"징버거, 이세계아이돌, 이세돌, 버추얼아이돌, 메타버스, 왁타버스, 아이네, 릴파, 주르르, 고세구, 비챤, 우왁굳, 버튜버, 아프리카, SOOP, 숲, 합방, yapyap, 마법게임, 음성마법게임, 나나문, 띵귤, 마법소녀",645,101,"버추얼아이돌, yapyap, 숲, 합방, 마법소녀, 음성마법게임, 메타버스, 띵귤, 나나문, 마법게임"
징버거 JINGBURGER,2026-02-13T09:00:51Z,수술 후 근황,128362,6617,"징버거, 이세계아이돌, 이세돌, 버추얼아이돌, 메타버스, 왁타버스, 아이네, 릴파, 주르르, 고세구, 비챤, 우왁굳, 버튜버, 아프리카, SOOP, 숲, 징버거 근황, 징버거 수술",582,453,"징버거 수술, 버추얼아이돌, 징버거 근황, 메타버스, 숲"
징버거 JINGBURGER,2026-01-30T09:00:55Z,시청자들의 새해 소망을 직접 그려본다면?,29218,2520,"징버거, 이세계아이돌, 이세돌, 버추얼아이돌, 메타버스, 왁타버스, 아이네, 릴파, 주르르, 고세구, 비챤, 우왁굳, 버튜버, 아프리카, SOOP, 숲, 그림, 그림그리기, ART, 새해소망, 2026년",588,153,"그림그리기, 버추얼아이돌, 숲, ART, 그림, 메타버스, 2026년, 새해소망"
징버거 JINGBURGER,2026-01-23T09:01:21Z,두쫀쿠 ..? 그거 그냥 찰떡파이 아님?,76559,3765,"징버거, 이세계아이돌, 이세돌, 버추얼아이돌, 메타버스, 왁타버스, 아이네, 릴파, 주르르, 고세구, 비챤, 우왁굳, 버튜버, 아프리카, SOOP, 숲, 두쫀쿠, 두바이쫀득쿠키, 핫클립, 숲시상식, 끠끼, 단츄, 유의왕",537,211,"버추얼아이돌, 끠끼, 숲시상식, 숲, 두바이쫀득쿠키, 유의왕, 메타버스, 단츄, 두쫀쿠"
징버거 JINGBURGER,2026-01-16T09:01:26Z,짜장이랑 배그한판 했습니다,33788,2301,"징버거, 이세계아이돌, 이세돌, 버추얼아이돌, 메타버스, 왁타버스, 아이네, 릴파, 주르르, 고세구, 비챤, 우왁굳, 버튜버, 아프리카, SOOP, 숲, 배그, 배틀그라운드, 룰렛배그, pubg, 킴성태, 블랙워크, 합방",947,133,"버추얼아이돌, 숲, 합방, pubg, 배틀그라운드, 블랙워크, 배그, 메타버스, 킴성태, 룰렛배그"
징버거 JINGBURGER,2026-01-09T09:00:36Z,나랑 결혼하자,42487,2962,"징버거, 이세계아이돌, 이세돌, 버추얼아이돌, 메타버스, 왁타버스, 아이네, 릴파, 주르르, 고세구, 비챤, 우왁굳, 버튜버, 아프리카, SOOP, 숲, 핫클립, 노가리, 단어게임",489,172,"버추얼아이돌, 숲, 노가리, 메타버스, 단어게임"
징버거 JINGBURGER,2026-01-04T04:00:46Z,부가땅과 같이 보는 2025 징튜브 연말결산,56248,2597,"징버거, 이세계아이돌, 이세돌, 버추얼아이돌, 메타버스, 왁타버스, 아이네, 릴파, 주르르, 고세구, 비챤, 우왁굳, 버튜버, 아프리카, SOOP, 숲, 연말결산, 징튜브, 결산, 시상식, 투표, 올해, 2025",5428,139,"버추얼아이돌, 시상식, 숲, 징튜브, 올해, 연말결산, 결산, 2025, 투표, 메타버스"
징버거 JINGBURGER,2026-01-02T09:00:10Z,케인인님이 나의 스파실력을 알까?,59339,2733,"징버거, 이세계아이돌, 이세돌, 버추얼아이돌, 메타버스, 왁타버스, 아이네, 릴파, 주르르, 고세구, 비챤, 우왁굳, 버튜버, 아프리카, SOOP, 숲, 스파, 스트리트파이터, 스파6, 스트리트파이터6, 케인, 짬타수아, 케인인님, 합방, 징버거 케인, 징버거 짬타수아",2920,269,"징버거 짬타수아, 버추얼아이돌, 짬타수아, 숲, 합방, 스트리트파이터6, 징버거 케인, 스파6, 케인, 케인인님, 메타버스, 스파, 스트리트파이터"
징버거 JINGBURGER,2025-12-31T09:01:18Z,징버거의 최애과자는? - 한국 과자 티어리스트,60562,2975,"징버거, 이세계아이돌, 이세돌, 버추얼아이돌, 메타버스, 왁타버스, 아이네, 릴파, 주르르, 고세구, 비챤, 우왁굳, 버튜버, 아프리카, SOOP, 숲, 과자, 과자티어, 과자순위, 빼빼로, 초코송이, 썬칩, 오리온, 농심",1726,186,"과자순위, 버추얼아이돌, 숲, 농심, 초코송이, 썬칩, 메타버스, 빼빼로, 오리온, 과자티어, 과자"
징버거 JINGBURGER,2025-12-28T04:00:22Z,징버거가 합방에서 필수인 이유 ㅋㅋㅋ,128925,5703,"징버거, 이세계아이돌, 이세돌, 버추얼아이돌, 메타버스, 왁타버스, 아이네, 릴파, 주르르, 고세구, 비챤, 우왁굳, 버튜버, 아프리카, SOOP, 숲, 합방",525,237,"버추얼아이돌, 메타버스, 숲, 합방"
징버거 JINGBURGER,2025-12-25T04:00:34Z,강아지를 키우게 됐어요!,60298,3414,"징버거, 이세계아이돌, 이세돌, 버추얼아이돌, 메타버스, 왁타버스, 아이네, 릴파, 주르르, 고세구, 비챤, 우왁굳, 버튜버, 아프리카, SOOP, 숲, 노가리, 집사, 강아지, 짜장, 짜장이",483,192,"짜장, 버추얼아이돌, 숲, 짜장이, 집사, 노가리, 메타버스, 강아지"
징버거 JINGBURGER,2025-12-23T10:01:25Z,아이네는 유명한 아기토끼임,98085,4407,"징버거, 이세계아이돌, 이세돌, 버추얼아이돌, 메타버스, 왁타버스, 아이네, 릴파, 주르르, 고세구, 비챤, 우왁굳, 버튜버, 아프리카, SOOP, 숲, 노가리, 볶음밥, 아기토끼, 핫클립",496,161,"버추얼아이돌, 숲, 노가리, 메타버스, 아기토끼, 볶음밥"
징버거 JINGBURGER,2025-12-20T04:01:00Z,역대급 무대 의상 자랑하기,30540,2702,"징버거, 이세계아이돌, 이세돌, 버추얼아이돌, 메타버스, 왁타버스, 아이네, 릴파, 주르르, 고세구, 비챤, 우왁굳, 버튜버, 아프리카, SOOP, 숲, 유니티, 징니티, 의상, 무대의상, 비마이라이트, 네임리스, 스타게이저, 이세돌 신곡",633,153,"버추얼아이돌, 숲, 의상, 징니티, 네임리스, 메타버스, 무대의상, 스타게이저, 비마이라이트, 이세돌 신곡, 유니티"
